Date,Open,High,Low,Close,Adj Close,Volume
1/29/1993,43.96875,43.96875,43.75,43.9375,26.299288,1003200
2/1/1993,43.96875,44.25,43.96875,44.25,26.486324,480500
2/2/1993,44.21875,44.375,44.125,44.34375,26.542448,201300
2/3/1993,44.40625,44.84375,44.375,44.8125,26.822998,529400
2/4/1993,44.96875,45.09375,44.46875,45,26.93524,531500
2/5/1993,44.96875,45.0625,44.71875,44.96875,26.916538,492100
2/8/1993,44.96875,45.125,44.90625,44.96875,26.916538,596100
2/9/1993,44.8125,44.8125,44.5625,44.65625,26.72949,122100
2/10/1993,44.65625,44.75,44.53125,44.71875,26.766899,379600
2/11/1993,44.78125,45.125,44.78125,44.9375,26.897835,19500
2/12/1993,44.875,44.875,44.59375,44.59375,26.692072,42500
2/16/1993,44.46875,44.46875,43.40625,43.46875,26.0187,374800
2/17/1993,43.46875,43.53125,43.28125,43.4375,25.999992,210900
2/18/1993,43.9375,43.9375,42.8125,43.40625,25.981276,378100
2/19/1993,43.40625,43.5625,43.34375,43.5625,26.074812,34900
2/22/1993,43.6875,43.78125,43.5625,43.71875,26.168346,513600
2/23/1993,43.84375,43.875,43.46875,43.6875,26.149637,373700
2/24/1993,43.71875,44.25,43.71875,44.25,26.486324,26300
2/25/1993,44.21875,44.375,44.125,44.34375,26.542448,44500
2/26/1993,44.4375,44.4375,44.1875,44.40625,26.579865,66200
3/1/1993,44.5625,44.5625,44.21875,44.28125,26.505026,66500
3/2/1993,44.3125,44.9375,44.25,44.9375,26.897835,182400
3/3/1993,45,45.15625,44.9375,45.125,27.010061,280100
3/4/1993,45.1875,45.1875,44.875,44.875,26.860428,89500
3/5/1993,44.9375,45.125,44.71875,44.75,26.785612,40000
3/8/1993,44.84375,45.75,44.84375,45.75,27.384171,50800
3/9/1993,45.65625,45.6875,45.5,45.59375,27.29064,169300
3/10/1993,45.59375,45.6875,45.40625,45.6875,27.346737,194400
3/11/1993,45.71875,45.84375,45.5,45.5625,27.271942,70900
3/12/1993,45.1875,45.21875,44.8125,45.09375,26.991364,643600
3/15/1993,45.0625,45.3125,45.0625,45.3125,27.122303,310800
3/16/1993,45.3125,45.4375,45.3125,45.3125,27.122303,30800
3/17/1993,45.25,45.25,44.96875,45.03125,26.953955,21800
3/18/1993,45.21875,45.5,45.21875,45.3125,27.122303,59300
3/19/1993,45.28125,45.28125,45.03125,45.03125,27.081253,66900
3/22/1993,44.59375,44.875,44.5625,44.78125,26.930897,183400
3/23/1993,44.90625,44.9375,44.8125,44.875,26.987293,55200
3/24/1993,44.8125,45.0625,44.59375,44.875,26.987293,37200
3/25/1993,44.90625,45.25,44.84375,45.15625,27.156414,110100
3/26/1993,45.125,45.15625,44.875,44.90625,27.006079,101500
3/29/1993,44.9375,45.3125,44.9375,45.09375,27.118855,87100
3/30/1993,45.15625,45.21875,45.09375,45.21875,27.194014,56000
3/31/1993,45.34375,45.46875,45.1875,45.1875,27.175211,111600
4/1/1993,45.25,45.25,44.9375,45.03125,27.081253,129500
4/2/1993,44.65625,44.65625,44.09375,44.09375,26.517452,59400
4/5/1993,44.4375,44.4375,44.1875,44.3125,26.649002,172200
4/6/1993,44.40625,44.40625,44.0625,44.1875,26.573824,129700
4/7/1993,44.25,44.34375,44.15625,44.34375,26.667795,28000
